# Pinecrest Capital — track record data
# ===============================================================
# DOLLAR MODE — enter your daily profit/loss in $ and the app
# turns it into the % track record. Your budget and dollar
# amounts are NEVER shown in the app, only the percentage.
#
# 1) Set your starting budget on the "capital" line below.
# 2) One line per trading day:  YYYY-MM-DD, profit-or-loss
#       - a gain is a positive number:     23200
#       - a loss uses a minus sign:        -8400
#       - thousands separators are fine:   23,200
# 3) Keep the first line (inception) at 0 so the curve starts at 100%.
#
# ===============================================================
# capital: 532000
# benchmark: QQQ
2026-02-13, -13165, 601.92
2026-02-16, 1410, 601.30
2026-02-18, 25110, 543.40
2026-02-20, 4545, 603.47
2026-02-23, 1210, 601.41
2026-02-24, 9290, 607.87
2026-02-26, 1435, 609.24
2026-02-27, 2105, 607.29
2026-03-02, -1525, 608.09
2026-03-03, -4805, 601.58
2026-03-04, 44275, 610.75
2026-03-05, 5105, 608.91
2026-03-06, 3550, 599.75
2026-03-09, 18315, 607.76
2026-03-11, 5105, 607.69
2026-03-12, 1035, 597.26
2026-03-13, -50520, 593.72
2026-03-16, -260, 600.38
2026-03-17, 46250, 603.31
2026-03-19, -18115, 593.02
2026-03-20, -14830, 582.06
2026-03-23, 33445, 588.00
2026-03-25, -935, 587.82
2026-03-26, 4490, 573.79
2026-03-27, -18780, 562.58
2026-03-30, -23715, 558.28
2026-03-31, 39240, 577.18
2026-04-01, 615, 584.31
2026-04-06, 3085, 588.50
2026-04-07, 4605, 588.59
2026-04-15, 25, 637.40
2026-04-20, 725, 646.79
2026-04-21, 1530, 644.33
2026-04-22, -2280,655.11
2026-04-23, 8965, 651.42
2026-04-24, 29675, 663.88
2026-04-27, 915, 664.23
2026-04-28, 230, 657.55
2026-04-29, -675, 661.57
2026-04-30, 3940, 667.74
2026-05-05, 7060, 681.61
2026-05-06, 400, 695.77
2026-05-08, 8880, 711.23
2026-05-13, 13560, 714.71
2026-05-15, 1895, 708.93
2026-05-18, 85, 705.88
2026-05-19, -3950, 701.53
2026-05-20, -2275, 713.15
2026-05-21, 32540, 714.51
2026-05-22, 1290, 717.54
2026-05-26, 1635, 730.28
2026-05-28, 20, 735.60
2026-05-29, 11005, 738.31
2026-06-01, 1640, 742.74
2026-06-02, 2000, 746.16
2026-06-03, 920, 744.21
2026-06-04, 5240, 740.61
2026-06-05, -7080, 705.06
2026-06-08, -119055, 716.07
2026-06-09, -52810, 707.83
2026-06-10, -665, 693.69
2026-06-11, 26380, 717.12
2026-06-16, 330, 729.86
2026-06-17, 475, 722.51
2026-06-18, 19965, 740.62
2026-06-23, 20, 713.65
2026-06-24, -21325, 710.62
2026-06-25, 29505, 716.38
2026-06-26, -4520, 706.52
2026-06-29, 26830, 724.08
2026-07-01, 35, 725.17
2026-07-02, 1385, 712.60
2026-07-03, 5045, 722.82
2026-07-07, -670, 709.43
2026-07-08, -1145, 711.44
2026-07-09, 24975, 723.28
2026-07-10, 1390, 725.51
2026-07-13, -2310, 711.74
